question,answer_1,answer_2,answer_3,answer_4,answer_5,correct_answer,question_comment,type
Quantos meses tem 1 ano?,Doze,Dez,Oito,Quatro,nda,1,,1
Qual o dobro de 4?,8,16,4,2,nda,1,,1
"Qual o nome dado ao Super Homem pelos pais adotivos?,""Clark Kent"",""Clarc Kant"",Kal-El,""Clarque Quent"",nda,1,,1"
Qual o nome do fantasminha camarada?,Gasparzinho,Fantasminha,Amiguinho,Luquinha,nda,1,,1
"Qual o primeiro personagem criado por Walt Disney?,""Mickey Mouse"",""Pato Donald"",""Minnie Mouse"",Pluto,nda,1,,1"
"A quantas horas correspondem 120 minutos?,""2 Horas"",""1 Hora"",""3 Horas"",""4 Horas"",nda,1,,1"
Quantas unidades tem uma dezena?,10,100,1000,10000,nda,1,,1
Quantos componentes formavam os Beatles?,4,5,6,7,nda,1,,1
Quantos polos existem no globo terrestre?,2,3,4,9,nda,1,,1
Como se chama a personagem principal no filme Frozen?,Elsa,Maria,Anna,Bruna,nda,1,,1
Como se chama o recipiente para molhar as plantas?,Regador,Radiador,Gerador,Soldador,nda,1,,1
Como se chama o sapato utilizado pelos bailarinos?,Sapatilha,Sapateiro,Sapatilho,Sapatinha,nda,1,,1
Quantos meses tem 1 ano?,Doze,Dez,Oito,Quatro,nda,1,,1
Em qual atividade usamos a linha e a agulha?,Costura,Pintura,Leitura,Limpeza,nda,1,,1
Em que ano foi o descobrimento do Brasil?,1500,1450,1501,1630,nda,1,,1
"A quantas horas correspondem 120 minutos?,""2 Horas"",""1 Hora"",""3 Horas"",""4 Horas"",nda,1,,1"
"O que a Cinderela perdeu quando saiu do baile?,""Sapatinho de cristal"",Brinco,Bolsa,""Guarda Chuva"",nda,1,,1"
Como se chama o recipiente para molhar as plantas?,Regador,Radiador,Gerador,Soldador,nda,1,,1
Como se chama o sapato utilizado pelos bailarinos?,Sapatilha,Sapateiro,Sapatilho,Sapatinha,nda,1,,1
O que significa a palavra locar?,Alugar,Comprar,Emprestar,Devolver,nda,1,,1
Em qual atividade usamos a linha e a agulha?,Costura,Pintura,Leitura,Limpeza,nda,1,,1
"O que significa jogar a toalha em uma luta de boxe?,""Desistir da Luta"",""Aumentar o tempo da luta"",""Parada para descanso"",""Pedir para enxugar o suor"",nda,1,,1"
Em que ano foi o descobrimento do Brasil?,1500,1450,1501,1630,nda,1,,1
Quais as linhas que nunca se encontram?,Paralelas,Perpendiculares,Circulares,Senoidais,nda,1,,1
"O que a Cinderela perdeu quando saiu do baile?,""Sapatinho de cristal"",Brinco,Bolsa,""Guarda Chuva"",nda,1,,1"
"Qual a maior estrela do sistema solar?,Sol,""Estrela Dalva"",Sirius,Canopos,nda,1,,1"
"Qual ator interpretou o personagem Rambo nos filmes?,""Sylvester Stallone"",""Al Pacino"",""Marlon Brando"",""Joe Pesci"",nda,1,,1"
O que significa a palavra locar?,Alugar,Comprar,Emprestar,Devolver,nda,1,,1
"O que significa jogar a toalha em uma luta de boxe?,""Desistir da Luta"",""Aumentar o tempo da luta"",""Parada para descanso"",""Pedir para enxugar o suor"",nda,1,,1"
Quais as linhas que nunca se encontram?,Paralelas,Perpendiculares,Circulares,Senoidais,nda,1,,1
"Qual a maior estrela do sistema solar?,Sol,""Estrela Dalva"",Sirius,Canopos,nda,1,,1"
"Qual ator interpretou o personagem Rambo nos filmes?,""Sylvester Stallone"",""Al Pacino"",""Marlon Brando"",""Joe Pesci"",nda,1,,1"
Qual o coletivo de Peixes?,Cardume,Manada,Matilha,Vara,nda,1,,1
"Qual o nome da Bruxa do 71 no seriado chaves?,""Dona Clotilde"",""Dona Claudete"",""Dona Florinda"",""Dona Malvada"",nda,1,,1"
Qual o nome do menino que grita Gentalha no seriado chaves?,Kiko,Chaves,Nhonho,Godines,nda,1,,1
Quantas letras S tem a palavra sessenta?,3,4,2,1,nda,1,,1
Quantas letras tem o alfabeto brasileiro?,26,23,28,32,nda,1,,1
Quantas pernas tem uma aranha?,8,4,10,12,nda,1,,1
Quantas rodas tem um quadriciclo?,4,2,6,8,nda,1,,1
Quantas rodas tem um triciclo?,3,1,4,8,nda,1,,1
Quantos mililitros existe em 1 litro?,1000,100,10000,100000,nda,1,,1
Quantos quilos tem uma tonelada?,1000,600,1200,1500,nda,1,,1
"Quem foi Che Guevara?,""Um Guerrilheiro"",""Um Ator Famoso"",""Um Navegador"",""Um Cantor Latino"",nda,1,,1"
Uma centena tem quantas dezenas?,10,1,50,100,nda,1,,1
Uma hora tem quantos minutos?,60,50,90,100,nda,1,,1
"Uma nota de R$ 50,""00 equivale a quantas moedas de R$ 1"",00,50,25,100,200,nda,1"
Qual o coletivo de Peixes?,Cardume,Manada,Matilha,Vara,nda,1,,1
"Qual a frase que costumamos dizer ao cumprimentar as pessoas durante a tarde?,""Boa tarde!"",""Bom dia!"",""Boa noite!"",""Bom Apetite!"",nda,1,,1"
"Qual o nome da Bruxa do 71 no seriado chaves?,""Dona Clotilde"",""Dona Claudete"",""Dona Florinda"",""Dona Malvada"",nda,1,,1"
Qual o nome do menino que grita Gentalha no seriado chaves?,Kiko,Chaves,Nhonho,Godines,nda,1,,1
Qual o nome do sentimento que nos deixa feliz?,Alegria,Raiva,Culpa,Medo,nda,1,,1
"Quantas horas tem um dia?,""24 horas"",""12 horas"",""05 horas"",""36 horas"",nda,1,,1"
Quantas rodas tem duas motos?,Quatro,Duas,Seis,Oito,nda,1,,1
Quantas letras S tem a palavra sessenta?,3,4,2,1,nda,1,,1
Quantas letras tem o alfabeto brasileiro?,26,23,28,32,nda,1,,1
Quantas pernas tem uma aranha?,8,4,10,12,nda,1,,1
Quantas rodas tem um quadriciclo?,4,2,6,8,nda,1,,1
Quantas rodas tem um triciclo?,3,1,4,8,nda,1,,1
Quantos mililitros existe em 1 litro?,1000,100,10000,100000,nda,1,,1
Quantos quilos tem uma tonelada?,1000,600,1200,1500,nda,1,,1
"Quem foi Che Guevara?,""Um Guerrilheiro"",""Um Ator Famoso"",""Um Navegador"",""Um Cantor Latino"",nda,1,,1"
Uma centena tem quantas dezenas?,10,1,50,100,nda,1,,1
Uma hora tem quantos minutos?,60,50,90,100,nda,1,,1
"Uma nota de R$ 50,""00 equivale a quantas moedas de R$ 1"",00,50,25,100,200,nda,1"
"Qual a frase que costumamos dizer ao cumprimentar as pessoas durante a tarde?,""Boa tarde!"",""Bom dia!"",""Boa noite!"",""Bom Apetite!"",nda,1,,1"
Como se chama o profissional que conserta e vende pneus?,Borracheiro,Encanador,Marceneiro,Pedreiro,nda,1,,1
"Quantas horas tem um dia?,""24 horas"",""12 horas"",""05 horas"",""36 horas"",nda,1,,1"
Quantas rodas tem duas motos?,Quatro,Duas,Seis,Oito,nda,1,,1
O que significa alcunha?,Apelido,Fachada,Sabotagem,Testa,nda,1,,1
O que significa ser abelhudo?,Intrometido,Desinteressado,Inteligente,Compreensivo,nda,1,,1
Como se chama o profissional que conserta e vende pneus?,Borracheiro,Encanador,Marceneiro,Pedreiro,nda,1,,1
O que significa alcunha?,Apelido,Fachada,Sabotagem,Testa,nda,1,,1
O que significa ser abelhudo?,Intrometido,Desinteressado,Inteligente,Compreensivo,nda,1,,1
